#jet #       rapidity            phi             pt n constituents
#    0      -0.867065        2.90527        983.065      33
#indices  rapidity(ita)            phi             pt
     303      -0.480085        2.57404       0.294345
     304       -0.44002        2.81377        1.05273
     150      -0.681514        2.79413        1.58428
     154       -0.66697        2.85461        3.03055
      27      -0.836385        2.81211        8.02742
     296      -0.964599         2.7115        0.39026
     153       -0.85783        2.78884        1.79959
     298      -0.885845        2.81652        1.08155
     294      -0.822326        2.82731        13.4972
     301      -0.790103        2.89741        1.76973
     293      -0.808795         2.8456        2.60756
     297      -0.783719        2.83058        1.58376
     144      -0.883354        2.90754         21.286
     289      -0.885178        2.90345        7.02636
     291      -0.883821        2.91668        23.6769
     299      -0.875423        2.94172       0.699017
     143      -0.888294        2.91225        60.1391
     290      -0.885359        2.91282        29.4997
      15       -1.31787        3.17806       0.461349
     152      -0.919374        2.92219        6.67619
     155      -0.824912        3.02923        4.34909
     302      -0.922558         3.1614       0.118531
     295        -0.6685        3.06173       0.222604
     300      -0.476565        3.12096       0.134877
     325      -0.419084        3.09668     0.00508892
      26      -0.853786        2.91187        31.5438
     146      -0.866917        2.90833        189.851
     149      -0.863865        2.90687        87.0835
     151       -0.87295        2.88644        16.2161
     145      -0.861327        2.90188        64.9978
     292      -0.863873        2.90054        9.87215
     147      -0.870099        2.91009        135.971
     148      -0.868431        2.90578        256.731
#jet #       rapidity            phi             pt n constituents
#    0      -0.867065        2.90527        983.065      33
#indices  rapidity(ita)            phi             pt
     303      -0.480085        2.57404       0.294345
     304       -0.44002        2.81377        1.05273
     150      -0.681514        2.79413        1.58428
     154       -0.66697        2.85461        3.03055
      27      -0.836385        2.81211        8.02742
     296      -0.964599         2.7115        0.39026
     153       -0.85783        2.78884        1.79959
     298      -0.885845        2.81652        1.08155
     294      -0.822326        2.82731        13.4972
     301      -0.790103        2.89741        1.76973
     293      -0.808795         2.8456        2.60756
     297      -0.783719        2.83058        1.58376
     144      -0.883354        2.90754         21.286
     289      -0.885178        2.90345        7.02636
     291      -0.883821        2.91668        23.6769
     299      -0.875423        2.94172       0.699017
     143      -0.888294        2.91225        60.1391
     290      -0.885359        2.91282        29.4997
      15       -1.31787        3.17806       0.461349
     152      -0.919374        2.92219        6.67619
     155      -0.824912        3.02923        4.34909
     302      -0.922558         3.1614       0.118531
     295        -0.6685        3.06173       0.222604
     300      -0.476565        3.12096       0.134877
     325      -0.419084        3.09668     0.00508892
      26      -0.853786        2.91187        31.5438
     146      -0.866917        2.90833        189.851
     149      -0.863865        2.90687        87.0835
     151       -0.87295        2.88644        16.2161
     145      -0.861327        2.90188        64.9978
     292      -0.863873        2.90054        9.87215
     147      -0.870099        2.91009        135.971
     148      -0.868431        2.90578        256.731


#jet #       rapidity            phi             pt n constituents
#    0      -0.867065        2.90527        983.065      33
#indices  rapidity(ita)            phi             pt
     303      -0.480085        2.57404       0.294345
     304       -0.44002        2.81377        1.05273
     150      -0.681514        2.79413        1.58428
     154       -0.66697        2.85461        3.03055
      27      -0.836385        2.81211        8.02742
     296      -0.964599         2.7115        0.39026
     153       -0.85783        2.78884        1.79959
     298      -0.885845        2.81652        1.08155
     294      -0.822326        2.82731        13.4972
     301      -0.790103        2.89741        1.76973
     293      -0.808795         2.8456        2.60756
     297      -0.783719        2.83058        1.58376
     144      -0.883354        2.90754         21.286
     289      -0.885178        2.90345        7.02636
     291      -0.883821        2.91668        23.6769
     299      -0.875423        2.94172       0.699017
     143      -0.888294        2.91225        60.1391
     290      -0.885359        2.91282        29.4997
      15       -1.31787        3.17806       0.461349
     152      -0.919374        2.92219        6.67619
     155      -0.824912        3.02923        4.34909
     302      -0.922558         3.1614       0.118531
     295        -0.6685        3.06173       0.222604
     300      -0.476565        3.12096       0.134877
     325      -0.419084        3.09668     0.00508892
      26      -0.853786        2.91187        31.5438
     146      -0.866917        2.90833        189.851
     149      -0.863865        2.90687        87.0835
     151       -0.87295        2.88644        16.2161
     145      -0.861327        2.90188        64.9978
     292      -0.863873        2.90054        9.87215
     147      -0.870099        2.91009        135.971
     148      -0.868431        2.90578        256.731


#jet #       rapidity            phi             pt n constituents
#    0      -0.867065        2.90527        983.065      33
#indices  rapidity(ita)            phi             pt
     303      -0.480085        2.57404       0.294345
     304       -0.44002        2.81377        1.05273
     150      -0.681514        2.79413        1.58428
     154       -0.66697        2.85461        3.03055
      27      -0.836385        2.81211        8.02742
     296      -0.964599         2.7115        0.39026
     153       -0.85783        2.78884        1.79959
     298      -0.885845        2.81652        1.08155
     294      -0.822326        2.82731        13.4972
     301      -0.790103        2.89741        1.76973
     293      -0.808795         2.8456        2.60756
     297      -0.783719        2.83058        1.58376
     144      -0.883354        2.90754         21.286
     289      -0.885178        2.90345        7.02636
     291      -0.883821        2.91668        23.6769
     299      -0.875423        2.94172       0.699017
     143      -0.888294        2.91225        60.1391
     290      -0.885359        2.91282        29.4997
      15       -1.31787        3.17806       0.461349
     152      -0.919374        2.92219        6.67619
     155      -0.824912        3.02923        4.34909
     302      -0.922558         3.1614       0.118531
     295        -0.6685        3.06173       0.222604
     300      -0.476565        3.12096       0.134877
     325      -0.419084        3.09668     0.00508892
      26      -0.853786        2.91187        31.5438
     146      -0.866917        2.90833        189.851
     149      -0.863865        2.90687        87.0835
     151       -0.87295        2.88644        16.2161
     145      -0.861327        2.90188        64.9978
     292      -0.863873        2.90054        9.87215
     147      -0.870099        2.91009        135.971
     148      -0.868431        2.90578        256.731


