#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -5.72519     0.00968341        4127.75      30
#indices  rapidity(ita)            phi             pt
     192       -4.32651       0.368372        61.0946
     516       -4.46769        6.28157             22
      96       -4.43891     0.00205161            211
     711       -4.44666     0.00305545        22.0001
     816        -3.7994     0.00176755             22
     451       -3.57165         6.2396        22.0209
     141       -3.42727      0.0191286        130.024
     501       -3.46904     0.00825816        22.0008
     146        -3.0684      0.0119075        211.015
     815       -3.00947        6.12428        0.52679
     224    0.000907548      0.0311859       0.113937
     311    -0.00984262      0.0283692        22.0089
     181     0.00127799        6.25127        22.0112
      74    -0.00666701        6.04377       0.770709
     259   -0.000884395         5.9713      0.0578778
     804     0.00191325        5.94045     0.00637654
     326       -2.04177        6.27865        130.001
     506       -1.87271      0.0299966        22.0099
     296        1.75816        6.28199            211
     440        1.73525        6.22753       0.443371
     717       -2.40734       0.343887        47.4567
     131        -2.2975        6.28232            211
     556       -2.34505        6.28274             22
       1       -4.87164        6.28257           2212
      36       -4.74997    3.21605e-06            211
      11       -4.67937        6.28135            211
     496       -4.69167        6.28302             22
     571       -4.51477     0.00199542             22
     176      -0.789955        6.27319        22.0011
     656      -0.835893        6.28051        22.0001
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -9.25707        1.35044        3071.27       6
#indices  rapidity(ita)            phi             pt
    1326        -7.1038        1.55211        211.037
    1281       -6.74937        1.51903        22.0295
    1586       -6.77278        1.52572        211.215
    1101       -9.00201        1.28443         2305.9
     996       -8.76551        1.56115         211.01
    1406       -8.85016         1.5451        130.043
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0        7.58873      0.0385562        9587.56      66
#indices  rapidity(ita)            phi             pt
    2990        7.17675       0.222651        99.6306
    1755        7.32304       0.375028        576.033
    2945        7.33458       0.555912        41.6889
    4209        7.10976     0.00145207            211
    4729        6.85669        6.28314           2112
    2064        6.64735        6.28131             22
    4099        6.63999     0.00113608            211
    4669        4.95902    7.32276e-06            211
    3839         4.9676      0.0118913        22.0016
    3874        4.96766     0.00467091        22.0002
    3359        4.98789    0.000726152            130
    5034        5.01335      0.0013289            211
    2004        5.52712    0.000189576            211
    5369        5.55798      0.0061039        22.0004
    4919        5.26222        6.27993        211.001
    5454        1.63053        6.26932        22.0021
    3809       -2.44624        6.26437        22.0039
    4973       -2.41062        6.20917       0.356182
    1874        4.12325        6.28312            321
    3089         4.1317     0.00529934        211.003
    2589        4.37943     0.00919097        211.009
    2744        4.38021      0.0039644        22.0002
    1844        4.54052        6.28294            211
    2224        4.34114     0.00291522        211.001
    2959        4.32137        6.27617        22.0005
    3104        4.14332       0.026462        211.074
    4989        4.14069        6.28273            211
    2509        4.22389        6.27183        22.0014
    3914        4.17069     0.00686346        22.0005
    5354        4.14546     0.00468745        211.002
    5374        3.40697      0.0162664        22.0029
    3534        3.39218      0.0112388        211.013
    3924        3.38153      0.0108672        22.0013
    5139        3.43901    0.000745154             22
    5449        3.42735        6.28228            211
    1709        1.90767     0.00112547            211
    5309        1.78482     0.00795807        22.0007
    2254        0.85992     0.00564803        211.003
    3599       0.042972        6.28166             22
    2584    -0.00765766     0.00968032         22.001
    4434    -0.00446633     0.00831808        22.0008
    5299    -0.00217728     0.00818521        22.0007
    1960        5.80786       0.511444        44.9496
    2760        5.70593       0.671231        35.3726
    2495        5.85263       0.252509        88.0585
    4905        5.91106       0.368724         61.039
    1954        4.04859      0.0013178            211
    3194       0.836756        6.27472        130.005
    4339       0.884913         6.2829            211
    5039        2.43566      0.0332806        211.117
    5249        2.21239        6.27924        22.0002
    1714         -2.515     0.00420295        211.002
    4328       -2.50063       0.108505       0.472333
    4664        1.45113     0.00358694        22.0001
    4444        1.39667    0.000786174             22
    2458       -2.19395         6.1588        0.93431
    3979        -2.1333      0.0013807             22
    5464        2.48377         6.2799        211.001
    3469        2.30125        6.22112        22.0424
    4529        2.27861        6.27449        22.0008
    3969        2.24631        6.28077        22.0001
    5134        2.24596        6.28242            321
    3574         2.5792       0.013328        321.029
    5174        2.57192     0.00908623        22.0009
    3734        2.63418      0.0212137         22.005
    5044        2.60868      0.0186452        130.023
$
#kt Algorithm
#Value of R is 0.4
#jet #       rapidity            phi             pt n constituents
#    0       -8.33078     0.00510268        3875.43      49
#indices  rapidity(ita)            phi             pt
    6513       -6.12059        6.28302            211
